maven/mavencentral/antlr/antlr/2.7.7, BSD-3-Clause, approved, #148
maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.3, Apache-2.0, approved, CQ23207
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.3, Apache-2.0, approved, CQ23202
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.3, Apache-2.0, approved, CQ23206
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.3, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.3, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.12.3, Apache-2.0, approved, CQ23205
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml/classmate/1.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.sun.istack/istack-commons-runtime/3.0.12, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/com.sun.xml.messaging.saaj/saaj-impl/1.5.3, BSD-3-Clause, approved, #1672
maven/mavencentral/com.vladmihalcea/hibernate-types-52/2.14.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.zaxxer/HikariCP/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.persistence/jakarta.persistence-api/2.2.3, , approved, eclipse
maven/mavencentral/jakarta.transaction/jakarta.transaction-api/1.3.3, , approved, eclipse
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/jakarta.xml.soap/jakarta.xml.soap-api/1.4.2, , approved, eclipse
maven/mavencentral/jakarta.xml.ws/jakarta.xml.ws-api/2.3.3, , approved, eclipse
maven/mavencentral/net.bytebuddy/byte-buddy/1.10.22, , approved, CQ22491
