maven/mavencentral/ch.qos.logback/logback-classic/1.2.6, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.6, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.5, Apache-2.0, approved, CQ23844
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.5, Apache-2.0, approved, CQ23845
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.5, Apache-2.0, approved, CQ23725
maven/mavencentral/com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.12.5, Apache-2.0, approved, CQ23726
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.5, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.5, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.googlecode.json-simple/json-simple/1.1.1, Apache-2.0, approved, CQ9858
maven/mavencentral/io.github.classgraph/classgraph/4.8.69, MIT, approved, CQ22530
maven/mavencentral/io.swagger.core.v3/swagger-annotations/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-core/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-integration/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-models/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.validation/jakarta.validation-api/2.0.2, EPL-1.0, approved, modeling.emf.validation
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/junit/junit/4.13.2, EPL-2.0, approved, CQ23636
maven/mavencentral/org.apache.commons/commons-lang3/3.12.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.53, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-el/9.0.53, Apache-2.0, approved, CQ20193
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.53, Apache-2.0, approved, CQ20194
maven/mavencentral/org.hamcrest/hamcrest-core/2.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.hamcrest/hamcrest/2.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.32, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.32, MIT, approved, CQ13368
maven/mavencentral/org.springdoc/springdoc-openapi-common/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springdoc/springdoc-openapi-ui/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springdoc/springdoc-openapi-webmvc-core/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.5.5, Apache-2.0, approved, #1544
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.5.5, Apache-2.0, approved, #1542
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.10, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.10, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.10, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.10, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.10, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.10, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-web/5.3.10, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.10, Apache-2.0, approved, CQ23158
maven/mavencentral/org.webjars/swagger-ui/3.38.0, Apache-2.0, approved, #1306
maven/mavencentral/org.webjars/webjars-locator-core/0.46, MIT, approved, clearlydefined
maven/mavencentral/org.yaml/snakeyaml/1.28, Apache-2.0 AND (EPL-1.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later OR Apache-2.0 OR BSD-2-Clause), approved, CQ23168
