maven/mavencentral/ch.qos.logback/logback-classic/1.2.6, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.6, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.5, Apache-2.0, approved, CQ23207
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.5, Apache-2.0, approved, CQ23202
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.5, Apache-2.0, approved, CQ23725
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.5, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.5, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml/classmate/1.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.micrometer/micrometer-core/1.7.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.netty/netty-buffer/4.1.69.Final, Apache-2.0, approved, CQ21842
maven/mavencentral/io.netty/netty-codec-dns/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-http/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-http2/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-socks/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-common/4.1.69.Final, Apache-2.0 AND MIT AND CC0-1.0, approved, CQ21843
maven/mavencentral/io.netty/netty-handler-proxy/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-handler/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-resolver-dns-native-macos/4.1.69.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.netty/netty-resolver-dns/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-resolver/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-epoll/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-unix-common/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport/4.1.69.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.projectreactor.addons/reactor-extra/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.projectreactor.netty/reactor-netty-core/1.0.12, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.projectreactor.netty/reactor-netty-http/1.0.12, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.projectreactor/reactor-core/3.4.11, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.validation/jakarta.validation-api/2.0.2, , approved, eclipse
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-el/9.0.54, Apache-2.0, approved, CQ20193
maven/mavencentral/org.bouncycastle/bcpkix-jdk15on/1.68, MIT, approved, clearlydefined
maven/mavencentral/org.bouncycastle/bcprov-jdk15on/1.68, MIT, approved, CQ23714
maven/mavencentral/org.hdrhistogram/HdrHistogram/2.1.12, , approved, CQ13192
maven/mavencentral/org.hibernate.validator/hibernate-validator/6.2.0.Final, Apache-2.0, approved, CQ23258
maven/mavencentral/org.jboss.logging/jboss-logging/3.4.2.Final, Apache-2.0, approved, CQ21255
maven/mavencentral/org.reactivestreams/reactive-streams/1.0.3, CC0-1.0, approved, CQ16332
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.32, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.32, MIT, approved, CQ13368
maven/mavencentral/org.springframework.boot/spring-boot-actuator-autoconfigure/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-actuator/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-actuator/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.5.6, Apache-2.0, approved, #1544
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-reactor-netty/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-security/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-validation/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-webflux/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.cloud/spring-cloud-commons/3.0.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.cloud/spring-cloud-context/3.0.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.cloud/spring-cloud-gateway-server/3.0.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.cloud/spring-cloud-starter-gateway/3.0.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.cloud/spring-cloud-starter/3.0.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.security/spring-security-config/5.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.security/spring-security-core/5.5.3, Apache-2.0, approved, #1539
maven/mavencentral/org.springframework.security/spring-security-crypto/5.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.security/spring-security-rsa/1.0.10.RELEASE, Apache-2.0, approved, CQ20647
maven/mavencentral/org.springframework.security/spring-security-web/5.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.12, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.12, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.12, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.12, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
