maven/mavencentral/asm/asm-commons/3.3.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/asm/asm-tree/3.3.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/asm/asm/3.3.1, BSD-2-Clause, approved, CQ4720
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.9.10, Apache-2.0, approved, CQ21838
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.9.10, Apache-2.0, approved, CQ21839
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.9.10.8, Apache-2.0, approved, CQ21840
maven/mavencentral/com.fasterxml.woodstox/woodstox-core/6.2.6, Apache-2.0, approved, CQ23040
maven/mavencentral/com.github.ansell.aterms/aterm-java/1.8.2-p1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.aterms/shared-objects/1.4.9-p1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.jjtraveler/jjtraveler/0.6, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-common/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-core/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-datatypes/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-el/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-jena/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-rules/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ben-manes.caffeine/caffeine/2.8.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jsonld-java/jsonld-java/0.13.0, BSD-3-Clause, approved, CQ22136
maven/mavencentral/com.github.vsonnier/hppcrt/0.7.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.code.findbugs/jsr305/3.0.2, Apache-2.0, approved, #20
maven/mavencentral/com.google.code.gson/gson/2.8.9, Apache-2.0, approved, CQ23496
maven/mavencentral/com.google.collections/google-collections/1.0, Apache-2.0, approved, CQ3285
maven/mavencentral/com.google.errorprone/error_prone_annotations/2.3.4, Apache-2.0, approved, #807
maven/mavencentral/com.google.guava/failureaccess/1.0.1, Apache-2.0, approved, CQ22654
maven/mavencentral/com.google.guava/guava/30.0-jre, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava, NONE, approved, #803
maven/mavencentral/com.google.j2objc/j2objc-annotations/1.3, Apache-2.0, approved, CQ21195
maven/mavencentral/com.googlecode.json-simple/json-simple/1.1.1, Apache-2.0, approved, CQ9858
maven/mavencentral/com.googlecode.mdock/mdock/1.1, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/com.h2database/h2/1.4.200, EPL-1.0, approved, CQ11693
maven/mavencentral/com.hermit-reasoner/org.semanticweb.hermit/1.3.8.3, NOASSERTION OR NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/arq/2.8.7, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/iri/0.8, NOASSERTION, restricted, clearlydefined
