maven/mavencentral/aopalliance/aopalliance/1.0, LicenseRef-Public-Domain, approved, CQ2918
maven/mavencentral/asm/asm/3.3.1, BSD-2-Clause, approved, CQ4720
maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.beust/jcommander/1.48, Apache-2.0, approved, CQ9859
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.11.4, Apache-2.0, approved, CQ23491
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.11.4, Apache-2.0, approved, CQ23492
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23490
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-guava/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.11.4, Apache-2.0, approved, CQ22138
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.11.4, Apache-2.0, approved, CQ22715
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.11.4, Apache-2.0, approved, CQ22716
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.11.4, Apache-2.0, approved, CQ22717
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jffi/1.2.9, Apache-2.0, approved, CQ9095
maven/mavencentral/com.github.jnr/jnr-constants/0.8.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-enxio/0.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-ffi/2.0.3, Apache-2.0, approved, CQ12035
maven/mavencentral/com.github.jnr/jnr-posix/3.0.12, CPL-1.0, approved, CQ12037
maven/mavencentral/com.github.jnr/jnr-unixsocket/0.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-x86asm/1.0.2, MIT, approved, CQ9094
maven/mavencentral/com.github.mauricioaniche/ck/0.6.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.code.gson/gson/2.8.6, Apache-2.0, approved, CQ23102
maven/mavencentral/com.google.guava/guava/18.0, Apache-2.0, approved, CQ9085
maven/mavencentral/com.googlecode.javaewah/JavaEWAH/1.1.6, Apache-2.0, approved, CQ11658
maven/mavencentral/com.jcraft/jsch/0.1.54, BSD-2-Clause, approved, CQ12480
maven/mavencentral/com.opencsv/opencsv/5.3, Apache-2.0, approved, clearlydefined
