npm/npmjs/-/JSONStream/1.3.5, MIT OR Apache-2.0, approved, clearlydefined
npm/npmjs/-/abab/2.0.5, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/abbrev/1.1.1, ISC, approved, clearlydefined
npm/npmjs/-/accepts/1.3.7, MIT, approved, clearlydefined
npm/npmjs/-/acorn-globals/6.0.0, MIT, approved, clearlydefined
npm/npmjs/-/acorn-node/1.8.2, Apache-2.0, approved, clearlydefined
npm/npmjs/-/acorn-walk/7.2.0, MIT, approved, clearlydefined
npm/npmjs/-/acorn/7.4.1, MIT, approved, clearlydefined
npm/npmjs/-/acorn/8.4.1, MIT, approved, clearlydefined
npm/npmjs/-/acorn/8.5.0, MIT, approved, clearlydefined
npm/npmjs/-/add-stream/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/adler-32/1.2.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/adler-32/1.3.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/agent-base/5.1.1, MIT, approved, clearlydefined
npm/npmjs/-/agent-base/6.0.2, MIT, approved, clearlydefined
npm/npmjs/-/aggregate-error/3.1.0, MIT, approved, clearlydefined
npm/npmjs/-/ajv-errors/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/ajv-keywords/3.5.2, MIT, approved, clearlydefined
npm/npmjs/-/ajv/6.12.6, MIT, approved, #979
npm/npmjs/-/align-text/0.1.4, MIT, approved, clearlydefined
npm/npmjs/-/alphanum-sort/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/amdefine/1.0.1, BSD-3-Clause OR MIT, approved, clearlydefined
npm/npmjs/-/ansi-colors/3.2.3, MIT, approved, clearlydefined
npm/npmjs/-/ansi-escapes/3.2.0, MIT, approved, clearlydefined
npm/npmjs/-/ansi-regex/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/ansi-regex/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/ansi-regex/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/ansi-regex/5.0.0, MIT, approved, clearlydefined
npm/npmjs/-/ansi-styles/2.2.1, MIT, approved, clearlydefined
npm/npmjs/-/ansi-styles/3.2.1, MIT, approved, clearlydefined
npm/npmjs/-/ansi-styles/4.3.0, MIT, approved, clearlydefined
npm/npmjs/-/anymatch/3.1.2, ISC, approved, clearlydefined
npm/npmjs/-/aproba/1.2.0, ISC, approved, clearlydefined
npm/npmjs/-/are-we-there-yet/1.1.5, ISC, approved, clearlydefined
npm/npmjs/-/argparse/1.0.10, MIT, approved, clearlydefined
npm/npmjs/-/array-find-index/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/array-flatten/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/array-from/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/array-ify/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/array-union/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/array-union/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/array-uniq/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/arrify/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/asn1/0.2.4, MIT, approved, clearlydefined
npm/npmjs/-/assert-plus/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/assertion-error/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/ast-transform/0.0.0, MIT, approved, clearlydefined
npm/npmjs/-/ast-types/0.7.8, MIT, approved, clearlydefined
npm/npmjs/-/ast-types/0.9.14, MIT, approved, clearlydefined
npm/npmjs/-/ast-types/0.9.6, MIT, approved, clearlydefined
npm/npmjs/-/async-limiter/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/async/1.5.2, MIT, approved, clearlydefined
npm/npmjs/-/asynckit/0.4.0, MIT, approved, clearlydefined
npm/npmjs/-/autoprefixer/6.7.7, MIT, approved, #993
npm/npmjs/-/aws-sign2/0.7.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/aws4/1.11.0, MIT, approved, clearlydefined
npm/npmjs/-/babel-code-frame/6.26.0, MIT, approved, clearlydefined
npm/npmjs/-/babel-loader/8.2.2, MIT, approved, clearlydefined
npm/npmjs/-/babel-plugin-dynamic-import-node/2.3.3, MIT, approved, clearlydefined
npm/npmjs/-/babel-plugin-polyfill-corejs2/0.2.2, MIT, approved, clearlydefined
npm/npmjs/-/babel-plugin-polyfill-corejs3/0.2.3, MIT, approved, clearlydefined
npm/npmjs/-/babel-plugin-polyfill-regenerator/0.2.2, MIT, approved, clearlydefined
npm/npmjs/-/babel-runtime/6.26.0, MIT, approved, #943
npm/npmjs/-/back/0.1.5, MIT, approved, clearlydefined
npm/npmjs/-/balanced-match/0.4.2, MIT, approved, clearlydefined
npm/npmjs/-/balanced-match/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/base64-arraybuffer/0.1.5, MIT, approved, clearlydefined
npm/npmjs/-/base64-js/0.0.8, MIT, approved, clearlydefined
npm/npmjs/-/base64-js/1.3.1, MIT, approved, clearlydefined
npm/npmjs/-/base64-js/1.5.1, MIT, approved, clearlydefined
npm/npmjs/-/bcrypt-pbkdf/1.0.2, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/bent/7.3.12, Apache-2.0, approved, clearlydefined
npm/npmjs/-/big-integer/1.6.48, Unlicense, approved, clearlydefined
npm/npmjs/-/big.js/3.2.0, Apache-2.0 AND ICU AND MIT, approved, #1049
npm/npmjs/-/big.js/5.2.2, MIT, approved, clearlydefined
npm/npmjs/-/binary-extensions/2.2.0, MIT, approved, clearlydefined
npm/npmjs/-/binary/0.3.0, MIT, approved, clearlydefined
npm/npmjs/-/bindings/1.5.0, MIT, approved, clearlydefined
npm/npmjs/-/bl/1.2.3, MIT, approved, clearlydefined
npm/npmjs/-/bl/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/bluebird/3.4.7, MIT, approved, clearlydefined
npm/npmjs/-/bluebird/3.7.2, MIT, approved, clearlydefined
npm/npmjs/-/body-parser/1.19.0, MIT, approved, clearlydefined
npm/npmjs/-/boolean/3.1.2, MIT, approved, clearlydefined
npm/npmjs/-/brace-expansion/1.1.11, MIT, approved, clearlydefined
npm/npmjs/-/braces/3.0.2, MIT, approved, clearlydefined
npm/npmjs/-/brfs/2.0.2, MIT, approved, clearlydefined
npm/npmjs/-/brotli/1.3.2, Apache-2.0 AND MIT, approved, #1080
npm/npmjs/-/browser-process-hrtime/1.0.0, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/browser-resolve/1.11.3, MIT, approved, clearlydefined
npm/npmjs/-/browser-stdout/1.3.1, ISC, approved, clearlydefined
npm/npmjs/-/browserify-optional/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/browserslist/1.7.7, MIT, approved, clearlydefined
npm/npmjs/-/browserslist/4.16.6, MIT, approved, clearlydefined
npm/npmjs/-/buffer-alloc-unsafe/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/buffer-alloc/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/buffer-crc32/0.2.13, MIT, approved, clearlydefined
npm/npmjs/-/buffer-equal/0.0.1, MIT, approved, clearlydefined
npm/npmjs/-/buffer-fill/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/buffer-from/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/buffer-indexof-polyfill/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/buffer/5.7.1, MIT, approved, clearlydefined
npm/npmjs/-/buffer/6.0.3, MIT, approved, clearlydefined
npm/npmjs/-/buffers/0.1.1, MIT, approved, clearlydefined
npm/npmjs/-/byline/5.0.0, MIT, approved, clearlydefined
npm/npmjs/-/bytes/3.1.0, MIT, approved, clearlydefined
npm/npmjs/-/bytesish/0.4.4, Apache-2.0 AND MIT, approved, clearlydefined
npm/npmjs/-/cacache/11.3.3, ISC, approved, clearlydefined
npm/npmjs/-/cacheable-request/6.1.0, MIT, approved, clearlydefined
npm/npmjs/-/call-bind/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/camelcase-keys/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/camelcase-keys/4.2.0, MIT, approved, clearlydefined
npm/npmjs/-/camelcase/1.2.1, MIT, approved, clearlydefined
npm/npmjs/-/camelcase/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/camelcase/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/camelcase/5.3.1, MIT, approved, clearlydefined
npm/npmjs/-/caniuse-api/1.6.1, MIT, approved, clearlydefined
npm/npmjs/-/caniuse-db/1.0.30001246, CC-BY-4.0, approved, #1200
npm/npmjs/-/caniuse-lite/1.0.30001246, CC-BY-4.0, approved, #1196
npm/npmjs/-/caseless/0.12.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/center-align/0.1.3, MIT, approved, clearlydefined
npm/npmjs/-/cfb/1.2.1, Apache-2.0, approved, clearlydefined
npm/npmjs/-/chai/4.3.4, MIT, approved, clearlydefined
npm/npmjs/-/chainsaw/0.1.0, MIT, approved, clearlydefined
npm/npmjs/-/chalk/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/chalk/2.4.2, MIT, approved, clearlydefined
npm/npmjs/-/changes-stream/2.2.0, MIT, approved, clearlydefined
npm/npmjs/-/chardet/0.4.2, MIT, approved, clearlydefined
npm/npmjs/-/check-error/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/chokidar/3.3.0, MIT, approved, clearlydefined
npm/npmjs/-/chownr/1.1.4, ISC, approved, clearlydefined
npm/npmjs/-/chownr/2.0.0, ISC, approved, clearlydefined
npm/npmjs/-/chrome-trace-event/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/ci-info/1.6.0, MIT, approved, clearlydefined
npm/npmjs/-/circular-dependency-plugin/5.2.2, ISC, approved, clearlydefined
npm/npmjs/-/clap/1.2.3, MIT, approved, clearlydefined
npm/npmjs/-/classnames/2.3.1, MIT, approved, clearlydefined
npm/npmjs/-/clean-stack/2.2.0, MIT, approved, clearlydefined
npm/npmjs/-/cli-cursor/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/cli-spinners/2.6.0, MIT, approved, clearlydefined
npm/npmjs/-/cli-width/2.2.1, ISC, approved, clearlydefined
npm/npmjs/-/cliui/2.1.0, ISC, approved, clearlydefined
npm/npmjs/-/cliui/3.2.0, ISC, approved, clearlydefined
npm/npmjs/-/cliui/5.0.0, ISC, approved, clearlydefined
npm/npmjs/-/cliui/6.0.0, ISC, approved, clearlydefined
npm/npmjs/-/clone-deep/4.0.1, MIT, approved, clearlydefined
npm/npmjs/-/clone-response/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/clone/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/clone/2.1.2, MIT, approved, clearlydefined
npm/npmjs/-/clsx/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/cmd-shim/2.1.0, ISC, approved, clearlydefined
npm/npmjs/-/coa/1.0.4, MIT, approved, #984
npm/npmjs/-/code-point-at/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/codepage/1.15.0, Apache-2.0, approved, clearlydefined
