maven/mavencentral/org.apache.httpcomponents/httpasyncclient/4.1.4, Apache-2.0, approved, CQ13506
maven/mavencentral/com.google.guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23093
maven/mavencentral/javax.servlet/javax.servlet-api/4.0.1, , approved, CQ16125
maven/mavencentral/org.springframework/spring-webmvc/5.3.3, Apache-2.0, approved, CQ23158
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.0.5, Apache-2.0 OR LGPL-2.1, restricted, clearlydefined
maven/mavencentral/org.apache.xbean/xbean-reflect/3.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-io/commons-io/2.8.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.glassfish/jakarta.el/3.0.3, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, emo_ip_team
maven/mavencentral/joda-time/joda-time/2.10.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.simpleframework/simple-xml/2.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/jfact/1.0.0, LGPL-2.1, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/sdb/1.3.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.aterms/aterm-java/1.8.2-p1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.tukaani/xz/1.6, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-bindings-soap/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-c14n/1.2.14, , restricted, clearlydefined
maven/mavencentral/org.apache.james/apache-mime4j-core/0.7.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.guava/failureaccess/1.0.1, Apache-2.0, approved, CQ22654
maven/mavencentral/org.codehaus.woodstox/wstx-asl/3.2.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-logging-api/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/oro/oro/2.0.8, Apache-1.1, approved, emo_ip_team
maven/mavencentral/com.fasterxml.woodstox/woodstox-core/6.2.3, Apache-2.0, approved, CQ23040
maven/mavencentral/wsdl4j/wsdl4j/1.6.3, CPL-1.0, approved, CQ7981
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-rdfxml/3.4.3, , approved, eclipse
maven/mavencentral/com.hp.hpl.jena/iri/0.8, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.projectlombok/lombok/1.18.16, MIT, approved, clearlydefined
maven/mavencentral/org.projectlombok/lombok/1.18.18, MIT, approved, clearlydefined
maven/mavencentral/com.hp.hpl.jena/jena/2.6.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.glassfish.jaxb/jaxb-runtime/2.3.3, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.0.5, Apache-2.0, approved, clearlydefined
